year,month,day,g,s,W
1947,10,01,11,94,206
1947,11,01,10,61,163
1947,12,01,9,70,157
1947,06,01,8,60,144
1947,07,01,8,63,146
1947,08,01,11,103,214
1947,09,01,11,88,201
1948,01,01,9,45,130
1948,10,01,9,78,170
1948,11,01,9,74,167
1948,12,01,10,129,231
1948,02,01,7,36,108
1948,03,01,6,41,106
1948,04,01,13,101,226
1948,05,01,10,94,198
1948,06,01,10,93,192
1948,07,01,10,85,184
1948,08,01,13,86,212
1948,09,01,10,88,192
1949,01,01,9,90,180
1949,10,01,7,91,164
1949,11,01,9,108,201
1949,12,01,7,68,142
1949,02,01,11,156,267
1949,03,01,12,87,203
1949,04,01,11,90,199
1949,05,01,7,60,135
1949,06,01,8,65,142
1949,07,01,8,77,161
1949,08,01,8,94,170
1949,09,01,9,101,195
1950,01,01,7,69,134
1950,10,01,4,38,78
1950,11,01,4,44,79
1950,12,01,3,28,56
1950,02,01,6,57,117
1950,03,01,7,44,117
1950,04,01,6,77,135
1950,05,01,6,62,119
1950,06,01,5,44,94
1950,07,01,5,49,102
1950,08,01,5,44,98
1950,09,01,4,24,61
1951,01,01,3,36,64
1951,10,01,3,22,55
1951,11,01,4,20,62
1951,12,01,2,19,43
1951,02,01,3,29,61
1951,03,01,4,22,59
1951,04,01,5,52,107
1951,05,01,5,56,109
1951,06,01,4,58,102
1951,07,01,4,30,70
1951,08,01,3,24,55
1951,09,01,5,43,94
1952,01,01,2,11,29
1952,10,01,1,13,27
1952,11,01,1,13,23
1952,12,01,3,17,43
1952,02,01,1,9,23
1952,03,01,2,13,34
1952,04,01,2,16,33
1952,05,01,2,10,25
1952,06,01,2,10,34
1952,07,01,2,24,47
1952,08,01,4,34,74
1952,09,01,2,13,34
1953,01,01,2,8,28
1953,10,01,1,4,9
1953,11,01,0,0,1
1953,12,01,0,0,1
1953,02,01,0,1,5
1953,03,01,1,2,8
1953,04,01,2,17,35
1953,05,01,1,4,12
1953,06,01,1,9,23
1953,07,01,0,2,7
1953,08,01,2,11,27
1953,09,01,2,5,23
1954,01,01,0,0,0
1954,10,01,1,1,7
1954,11,01,1,3,11
1954,12,01,1,4,10
1954,02,01,0,0,0
1954,03,01,0,9,14
1954,04,01,0,0,3
1954,05,01,0,0,0
1954,06,01,0,0,0
1954,07,01,0,1,5
1954,08,01,1,5,12
1954,09,01,0,0,1
1955,01,01,2,9,25
1955,10,01,5,29,75
1955,11,01,6,43,102
1955,12,01,5,36,85
1955,02,01,2,9,28
1955,03,01,0,1,5
1955,04,01,1,4,14
1955,05,01,2,14,33
1955,06,01,2,19,35
1955,07,01,2,12,32
1955,08,01,3,25,54
1955,09,01,3,14,49
1956,01,01,5,35,81
1956,10,01,9,70,164
1956,11,01,9,118,212
1956,12,01,10,92,190
1956,02,01,7,48,122
1956,03,01,9,51,137
1956,04,01,8,42,119
1956,05,01,9,65,151
1956,06,01,7,54,122
1956,07,01,9,59,145
1956,08,01,11,86,191
1956,09,01,10,77,179
1957,01,01,10,65,162
1957,10,01,15,129,274
1957,11,01,14,86,221
1957,12,01,15,146,298
1957,02,01,8,43,118
1957,03,01,9,63,153
1957,04,01,10,70,175
1957,05,01,9,73,163
1957,06,01,11,99,214
1957,07,01,12,91,208
1957,08,01,9,78,166
1957,09,01,11,131,242
1958,01,01,14,92,230
1958,10,01,11,82,190
1958,11,01,9,76,167
1958,12,01,11,112,226
1958,02,01,10,54,155
1958,03,01,11,119,229
1958,04,01,12,82,204
1958,05,01,13,63,192
1958,06,01,10,76,171
1958,07,01,11,117,231
1958,08,01,12,124,246
1958,09,01,13,118,245
1959,01,01,14,108,249
1959,10,01,8,60,141
1959,11,01,8,79,156
1959,12,01,9,81,167
1959,02,01,9,55,146
1959,03,01,12,94,211
1959,04,01,10,86,185
1959,05,01,10,91,188
1959,06,01,11,74,180
1959,07,01,9,73,162
1959,08,01,11,133,241
1959,09,01,9,64,156
1960,01,01,10,75,178
1960,10,01,5,36,86
1960,11,01,6,54,109
1960,12,01,6,38,97
1960,02,01,7,55,122
1960,03,01,7,52,121
1960,04,01,7,77,150
1960,05,01,7,61,134
1960,06,01,7,50,120
1960,07,01,7,63,131
1960,08,01,8,88,165
1960,09,01,8,50,132
1961,01,01,3,39,72
1961,10,01,3,11,36
1961,11,01,2,11,34
1961,12,01,3,17,42
1961,02,01,3,13,44
1961,03,01,4,17,57
1961,04,01,4,30,74
1961,05,01,3,18,51
1961,06,01,4,41,80
1961,07,01,4,32,73
1961,08,01,3,18,49
1961,09,01,3,39,72
1962,01,01,2,21,40
1962,10,01,3,13,38
1962,11,01,2,6,22
1962,12,01,1,9,24
1962,02,01,3,33,62
1962,03,01,3,18,44
1962,04,01,3,22,49
1962,05,01,2,14,38
1962,06,01,2,13,35
1962,07,01,1,3,16
1962,08,01,1,6,16
1962,09,01,3,23,50
1963,01,01,1,6,19
1963,10,01,2,19,43
1963,11,01,2,6,24
1963,12,01,1,3,12
1963,02,01,1,8,22
1963,03,01,1,4,14
1963,04,01,2,10,25
1963,05,01,3,17,45
1963,06,01,2,14,32
1963,07,01,1,5,18
1963,08,01,2,12,32
1963,09,01,2,28,46
1964,01,01,1,3,14
1964,10,01,0,2,6
1964,11,01,0,1,6
